The baby on a tray in the house screamed .	scream ( agent = * baby ( nmod . on = tray ( nmod . in = * house ) ) )
The spokesman in the house served Emma the rose .	serve ( agent = * spokesman ( nmod . in = * house ) , recipient = Emma , theme = * rose )
A donkey in the room sold Ella a donut .	sell ( agent = donkey ( nmod . in = * room ) , recipient = Ella , theme = donut )
A cat in the house was offered the cake by the boy beside a table .	offer ( recipient = cat ( nmod . in = * house ) , theme = * cake , agent = * boy ( nmod . beside = table ) )
The donut on the mound was slid by a child on the computer .	slide ( theme = * donut ( nmod . on = * mound ) , agent = child ( nmod . on = * computer ) )
The dog in a bakery in the bag sneezed .	sneeze ( agent = * dog ( nmod . in = bakery ( nmod . in = * bag ) ) )
A girl on the stool on the table drew a frog .	draw ( agent = girl ( nmod . on = * stool ( nmod . on = * table ) ) , theme = frog )
A donut on a table grew .	grow ( theme = donut ( nmod . on = table ) )
The cake in the house was painted .	paint ( theme = * cake ( nmod . in = * house ) )
The sailor in a house lent a biscuit on a table to a goose .	lend ( agent = * sailor ( nmod . in = house ) , theme = biscuit ( nmod . on = table ) , recipient = goose )
A visitor in the pile rolled a resident .	roll ( agent = visitor ( nmod . in = * pile ) , theme = resident )
The girl in the vehicle needed to walk .	need ( agent = * girl ( nmod . in = * vehicle ) , xcomp = walk ( agent = * girl ( nmod . in = * vehicle ) ) )
A girl in the house slept .	sleep ( agent = girl ( nmod . in = * house ) )
The girl beside a table was given a box .	give ( recipient = * girl ( nmod . beside = table ) , theme = box )
A girl on the stage was sold a cake .	sell ( recipient = girl ( nmod . on = * stage ) , theme = cake )
The cat beside the table was rented the donut .	rent ( recipient = * cat ( nmod . beside = * table ) , theme = * donut )
A donut on the bed rolled .	roll ( theme = donut ( nmod . on = * bed ) )
A bear in the car froze the key on the table .	freeze ( agent = bear ( nmod . in = * car ) , theme = * key ( nmod . on = * table ) )
A cookie in the house rolled .	roll ( theme = cookie ( nmod . in = * house ) )
A girl in a can preferred to eat .	prefer ( agent = girl ( nmod . in = can ) , xcomp = eat ( agent = girl ( nmod . in = can ) ) )
A baby beside the bed in the tent investigated .	investigate ( agent = baby ( nmod . beside = * bed ( nmod . in = * tent ) ) )
A tool in a room was rolled .	roll ( theme = tool ( nmod . in = room ) )
The girl beside the bed lent the manager the leaf .	lend ( agent = * girl ( nmod . beside = * bed ) , recipient = * manager , theme = * leaf )
A girl in a bush said that the boy in a glass painted .	say ( agent = girl ( nmod . in = bush ) , ccomp = paint ( agent = * boy ( nmod . in = glass ) ) )
The cake in a glass was painted by a girl beside the table .	paint ( theme = * cake ( nmod . in = glass ) , agent = girl ( nmod . beside = * table ) )
A mouse beside the table ate .	eat ( agent = mouse ( nmod . beside = * table ) )
A goose in a spaceship gasped .	gasp ( agent = goose ( nmod . in = spaceship ) )
The baby beside a valve painted the cake .	paint ( agent = * baby ( nmod . beside = valve ) , theme = * cake )
A chicken beside a cabinet believed that the girl on the bed slept .	believe ( agent = chicken ( nmod . beside = cabinet ) , ccomp = sleep ( agent = * girl ( nmod . on = * bed ) ) )
A baby on a truck slept .	sleep ( agent = baby ( nmod . on = truck ) )
A girl in the house wanted to clean .	want ( agent = girl ( nmod . in = * house ) , xcomp = clean ( agent = girl ( nmod . in = * house ) ) )
The box on the corpse was handed to Liam .	hand ( theme = * box ( nmod . on = * corpse ) , recipient = Liam )
The raisin in a vehicle was rolled .	roll ( theme = * raisin ( nmod . in = vehicle ) )
The girl beside a table painted Scarlett .	paint ( agent = * girl ( nmod . beside = table ) , theme = Scarlett )
A cat beside the pepper loved Victoria .	love ( agent = cat ( nmod . beside = * pepper ) , theme = Victoria )
A girl in a hole slept .	sleep ( agent = girl ( nmod . in = hole ) )
The champion beside the bed liked that the dog in a house found the raisin .	like ( agent = * champion ( nmod . beside = * bed ) , ccomp = find ( agent = * dog ( nmod . in = house ) , theme = * raisin ) )
The mouse on the stool cleaned Emma .	clean ( agent = * mouse ( nmod . on = * stool ) , theme = Emma )
The duck beside the table beside the worm rolled .	roll ( theme = * duck ( nmod . beside = * table ( nmod . beside = * worm ) ) )
A boy on a tree lent the block to Emma .	lend ( agent = boy ( nmod . on = tree ) , theme = * block , recipient = Emma )
A melon on the table beside a house was helped .	help ( theme = melon ( nmod . on = * table ( nmod . beside = house ) ) )
A cat beside a tree intended to walk .	intend ( agent = cat ( nmod . beside = tree ) , xcomp = walk ( agent = cat ( nmod . beside = tree ) ) )
A baby in a garden called the raisin .	call ( agent = baby ( nmod . in = garden ) , theme = * raisin )
The boy on the stage preferred to smirk .	prefer ( agent = * boy ( nmod . on = * stage ) , xcomp = smirk ( agent = * boy ( nmod . on = * stage ) ) )
The cookie on the bed was liked .	like ( theme = * cookie ( nmod . on = * bed ) )
The cake beside a stage was liked by the baby beside a road .	like ( theme = * cake ( nmod . beside = stage ) , agent = * baby ( nmod . beside = road ) )
A teacher on the table was lent the box beside the bed .	lend ( recipient = teacher ( nmod . on = * table ) , theme = * box ( nmod . beside = * bed ) )
A girl on a table offered a donut to Olivia .	offer ( agent = girl ( nmod . on = table ) , theme = donut , recipient = Olivia )
The girl beside a table rolled .	roll ( theme = * girl ( nmod . beside = table ) )
The boy in the garden was given a cake .	give ( recipient = * boy ( nmod . in = * garden ) , theme = cake )
A girl in the house knew a cake .	know ( agent = girl ( nmod . in = * house ) , theme = cake )
A cookie on the leaf was rolled .	roll ( theme = cookie ( nmod . on = * leaf ) )
The girl in the closet intended to cook .	intend ( agent = * girl ( nmod . in = * closet ) , xcomp = cook ( agent = * girl ( nmod . in = * closet ) ) )
The boy beside the surgeon hoped to sketch .	hope ( agent = * boy ( nmod . beside = * surgeon ) , xcomp = sketch ( agent = * boy ( nmod . beside = * surgeon ) ) )
The captain on the desk in the room nursed .	nurse ( agent = * captain ( nmod . on = * desk ( nmod . in = * room ) ) )
A cake on a surface floated .	float ( theme = cake ( nmod . on = surface ) )
The bean beside the bed was shortened by a citizen beside the table .	shorten ( theme = * bean ( nmod . beside = * bed ) , agent = citizen ( nmod . beside = * table ) )
The drink beside a road was admired .	admire ( theme = * drink ( nmod . beside = road ) )
A girl beside the bed said that the bird beside the chair gave the cake to a boy .	say ( agent = girl ( nmod . beside = * bed ) , ccomp = give ( agent = * bird ( nmod . beside = * chair ) , theme = * cake , recipient = boy ) )
The child in a drawer gave Amelia a box beside the machine .	give ( agent = * child ( nmod . in = drawer ) , recipient = Amelia , theme = box ( nmod . beside = * machine ) )
The basket on the keyboard was eaten .	eat ( theme = * basket ( nmod . on = * keyboard ) )
The girl on the stage enlarged a cake on the cookie .	enlarge ( agent = * girl ( nmod . on = * stage ) , theme = cake ( nmod . on = * cookie ) )
The researcher in a room froze .	freeze ( theme = * researcher ( nmod . in = room ) )
A cat beside the rod on the chessboard was fed the box .	feed ( recipient = cat ( nmod . beside = * rod ( nmod . on = * chessboard ) ) , theme = * box )
A boy beside the road was given a box in the hole .	give ( recipient = boy ( nmod . beside = * road ) , theme = box ( nmod . in = * hole ) )
The professor beside a table appreciated the key in a room .	appreciate ( agent = * professor ( nmod . beside = table ) , theme = * key ( nmod . in = room ) )
The cat beside the table wanted to sleep .	want ( agent = * cat ( nmod . beside = * table ) , xcomp = sleep ( agent = * cat ( nmod . beside = * table ) ) )
The donut on a table was pierced .	pierce ( theme = * donut ( nmod . on = table ) )
A monkey on the table liked that the donut in a bush was given to the teacher .	like ( agent = monkey ( nmod . on = * table ) , ccomp = give ( theme = * donut ( nmod . in = bush ) , recipient = * teacher ) )
The dog in a bun was handed the cake .	hand ( recipient = * dog ( nmod . in = bun ) , theme = * cake )
A cat on a bag cleaned a chemical in a house .	clean ( agent = cat ( nmod . on = bag ) , theme = chemical ( nmod . in = house ) )
The boy in the house appreciated that a pumpkin beside the table slid .	appreciate ( agent = * boy ( nmod . in = * house ) , ccomp = slide ( theme = pumpkin ( nmod . beside = * table ) ) )
A frog beside the table cried .	cry ( agent = frog ( nmod . beside = * table ) )
The potato beside the lamp was helped .	help ( theme = * potato ( nmod . beside = * lamp ) )
A boy on the bed sketched .	sketch ( agent = boy ( nmod . on = * bed ) )
A dog in a cylinder declared that the cake on a surface was appreciated .	declare ( agent = dog ( nmod . in = cylinder ) , ccomp = appreciate ( theme = * cake ( nmod . on = surface ) ) )
The boy on the table disintegrated .	disintegrate ( theme = * boy ( nmod . on = * table ) )
The president on a table was given a melon beside a lemon .	give ( recipient = * president ( nmod . on = table ) , theme = melon ( nmod . beside = lemon ) )
The wolf on a computer was handed a bat by the girl beside the monkey .	hand ( recipient = * wolf ( nmod . on = computer ) , theme = bat , agent = * girl ( nmod . beside = * monkey ) )
A cake beside the table was rolled .	roll ( theme = cake ( nmod . beside = * table ) )
